Item,Label,Condition,WCO?,Quantifier/Definite,Determiner,Animate/Inanimate,Comp,Pronoun,Subject,V1,V2,Sentence example,Context,First Sentence,Second Sentence,,,,,Old context
2,pianist,NDA,no,Definite,The,animate,who,her,singer,heard during rehearsal,sounded,The singer who the pianist heard during rehearsal sounded beautiful.,"There is a certain pianist. A singer was heard during rehearsal by that pianist, and another was not.",There is a certain pianist.,"A singer was heard during rehearsal by that pianist, and another was not.",,,,,"There is a certain pianist. A singer was heard by that pianist during rehearsal, and another was not. "
2,pianist,NDI,no,Definite,The,inanimate,which,its,guitar,heard during rehearsal,sounded,The piano which the pianist heard during rehearsal sounded beautiful.,"There is a certain pianist. A guitar was heard during rehearsal by that pianist, and another was not.",There is a certain pianist.,"A guitar was heard during rehearsal by that pianist, and another was not.",,,,,"There is a certain pianist. A piano was heard by that pianist during rehearsal, and another was not. "
3,queen,YQA,yes,Quantifier,Every,animate,who,her,princess,admired,was featured,Every princess who her queen admired was featured in the royal portrait.,"Princesses are the daughters of certain queens. Some princesses were admired by their queen, and others were not.",Princesses are the daughters of certain queens.,"Some princesses were admired by their queen, and others were not.",,,,,"Princesses are paired with certain queens. Some princesses are admired by their queens, and others are not."
3,queen,YQI,yes,Quantifier,Every,inanimate,which,its,tiara,admired,was featured,Every tiara which its queen admired was featured in the royal portrait.,"Tiaras are worn by certain queens. Some tiaras were admired by their queen, and others were not.",Tiaras are worn by certain queens.,"Some tiaras were admired by their queen, and others were not.",,,,,"Princesses are paired with certain queens. Some tiaras are admired by their queens, and others are not."
3,queen,YDA,yes,Definite,The,animate,who,her,princess,admired,was featured,The princess who her queen admired was featured in the royal portrait.,"Princesses are are the daughters of certain queens. A princess was admired by her queen, and another was not.",Princesses are are the daughters of certain queens.,"A princess was admired by her queen, and another was not.",,,,,Princesses are paired with certain queens. A princess was admired by her queen and another was not.
3,queen,YDI,yes,Definite,The,inanimate,which,its,tiara,admired,was featured,The tiara which its queen admired was featured in the royal portrait.,"Tiaras are worn by certain queens. A tiara was admired by its queen, and another was not.",Tiaras are worn by certain queens.,"A tiara was admired by its queen, and another was not.",,,,,"Princesses are paired with certain queens. A tiara was admired by its queen, and another was not."
3,queen,NQA,no,Quantifier,Every,animate,who,her,princess,admired,was featured,Every princess who the queen admired was featured in the royal portrait.,"There is a certain queen. Some princesses were admired by that queen, and others were not.",There is a certain queen.,"Some princesses were admired by that queen, and others were not.",,,,,"There is a certain queen. Some princesses are admired by that queen, and others are not."
3,queen,NQI,no,Quantifier,Every,inanimate,which,its,tiara,admired,was featured,Every tiara which the queen admired was featured in the royal portrait.,"There is a certain queen. Some tiaras were admired by that queen, and others were not.",There is a certain queen.,"Some tiaras were admired by that queen, and others were not.",,,,,"There is a certain queen. Some tiaras are admired by that queens, and others are not."
3,queen,NDA,no,Definite,The,animate,who,her,princess,admired,was featured,The princess who the queen admired was featured in the royal portrait.,"There is a certain queen. A princess was admired by that queen, and another was not.",There is a certain queen.,"A princess was admired by that queen, and another was not.",,,,,There is a certain queen. A princess was admired by that queen and another was not.
3,queen,NDI,no,Definite,The,inanimate,which,its,tiara,admired,was featured,The tiara which the queen admired was in the royal portrait.,"There is a certain queen. A tiara was admired by that queen, and another was not.",There is a certain queen.,"A tiara was admired by that queen, and another was not.",,,,,"There is a certain queen. A tiara was admired by that queen, and another was not."
4,conductor,YQA,yes,Quantifier,Every,animate,who,her,floutist,saw on the stage,needed to be,Every floutist who her conductor saw on the stage needed to be in the orchestra pit.,"Floutists are overseen by certain conductors. Some floutists were seen on the stage by their conductor, and others were not.",Floutists are overseen by certain conductors.,"Some floutists were seen on the stage by their conductor, and others were not.",,,,,"Floutists are paired with certain conductors. Some floutists were seen by their conductor on stage, and others were not. "
4,conductor,YQI,yes,Quantifier,Every,inanimate,which,its,trumpet,saw on the stage,needed to be,Every trumpet which its conductor saw on the stage needed to be in the orchestra pit.,"Trumpets are in the orchestra of certain conductors. Some trumpets were seen on the stage by their conductor, and others were not.",Trumpets are in the orchestra of certain conductors.,"Some trumpets were seen on the stage by their conductor, and others were not.",,,,,"Trumpets are paired with certain conductors. Some trumpets were seen by their conductor on stage, and others were not. "
4,conductor,YDA,yes,Definite,The,animate,who,her,floutist,saw on the stage,needed to be,The floutist who her conductor saw on the stage needed to be in the orchestra pit.,"Floutists are overseen by certain conductors. A floutist was seen on the stage by her conductor, and another was not.",Floutists are overseen by certain conductors.,"A floutist was seen on the stage by her conductor, and another was not.",,,,,"Floutists are paired with certain conductors. A floutist was seen by their conductor on stage, and others were not. "
4,conductor,YDI,yes,Definite,The,inanimate,which,its,trumpet,saw on the stage,needed to be,The trumpet which its conductor saw on the stage needed to be in the orchestra pit.,"Trumpets are in the orchestra of certain conductors. A trumpet was seen on the stage by its conductor, and another was not.",Trumpets are in the orchestra of certain conductors.,"A trumpet was seen on the stage by its conductor, and another was not.",,,,,"Trumpets are paired with certain conductors. A trumpet was seen by their conductor on stage, and others were not. "
4,conductor,NQA,no,Quantifier,Every,animate,who,her,floutist,saw on the stage,needed to be,Every floutist who the conductor saw on the stage needed to be in the orchestra pit.,"There is a certain conductor. Some floutists were seen on the stage by that conductor, and others were not.",There is a certain conductor.,"Some floutists were seen on the stage by that conductor, and others were not.",,,,,"There is a certain conductor. Some floutists were seen by that conductor on stage, and others were not. "
4,conductor,NQI,no,Quantifier,Every,inanimate,which,its,trumpet,saw on the stage,needed to be,Every trumpet which the conductor saw on the stage needed to be in the orchestra pit.,"There is a certain conductor. Some trumpets were seen on the stage by that conductor, and others were not.",There is a certain conductor.,"Some trumpets were seen on the stage by that conductor, and others were not.",,,,,"There is a certain conductor. Some trumpets were seen by that conductor on stage, and others were not. "
4,conductor,NDA,no,Definite,The,animate,who,her,floutist,saw on the stage,needed to be,The floutist who the conductor saw on the stage needed to be in the orchestra pit.,"There is a certain conductor. A floutist was seen on the stage by that conductor, and another was not.",There is a certain conductor.,"A floutist was seen on the stage by that conductor, and another was not.",,,,,"There is a certain conductor. A floutist was seen by that conductor on stage, and another was not. "
4,conductor,NDI,no,Definite,The,inanimate,which,its,trumpet,saw on the stage,needed to be,The trumpet which the conductor saw on the stage needed to be in the orchestra pit.,"There is a certain conductor. A trumpet was seen on the stage by that conductor, and another was not.",There is a certain conductor.,"A trumpet was seen on the stage by that conductor, and another was not.",,,,,"There is a certain conductor. A trumpet was seen by that conductor on stage, and another was not. "
5,artist,YQA,yes,Quantifier,Every,animate,who,her,model,painted on canvas,looked,Every model who her artist painted on canvas looked stunning.,"Models are paired with certain artists. Some models were painted on canvas by their artist, and others were not.",Models are paired with certain artists.,"Some models were painted on canvas by their artist, and others were not.",,,,,"Models are used by painters. Some models were painted on canvas by their artists, and other models were not."
5,artist,YQI,yes,Quantifier,Every,inanimate,which,its,pottery wheel,painted on canvas,looked,Every portrait which its artist painted on canvas looked stunning.,"Portraits are painted by certain artists. Some portraits were painted on canvas by their artist, and others were not.",Portraits are painted by certain artists.,"Some portraits were painted on canvas by their artist, and others were not.",,,,,"Portraits are painted by painters. Some portraits were painted on canvas by their artists, and other portraits were not."
5,artist,YDA,yes,Definite,The,animate,who,her,model,painted on canvas,looked,The model who her artist painted on canvas looked stunning.,"Models are paired with certain artists. A model was painted on canvas by her artist, and another was not.",Models are paired with certain artists.,"A model was painted on canvas by her artist, and another was not.",,,,,Models are used by painters. A model was painted on canvas by her artist and another model was not.
5,artist,YDI,yes,Definite,The,inanimate,which,its,pottery wheel,painted on canvas,looked,The portrait which its artist painted on canvas looked stunning.,"Portraits are painted by certain artists. A portrait was painted on canvas by her artist, and another was not.",Portraits are painted by certain artists.,"A portrait was painted on canvas by her artist, and another was not.",,,,,"Portraits are painted by painters. A portrait was painted on canvas by its artist, and another portrait was not."
5,artist,NQA,no,Quantifier,Every,animate,who,her,model,painted on canvas,looked,Every model who the artist painted on canvas looked stunning.,"There is a certain artist. Some models were painted on canvas by that artist, and others were not.",There is a certain artist.,"Some models were painted on canvas by that artist, and others were not.",,,,,"There is a certain artist. Some models were painted on canvas by that artist, and other models were not."
5,artist,NQI,no,Quantifier,Every,inanimate,which,its,pottery wheel,painted on canvas,looked,Every portrait which the artist painted on canvas looked stunning.,"There is a certain artist. Some portraits were painted on canvas by that artist, and others were not.",There is a certain artist.,"Some portraits were painted on canvas by that artist, and others were not.",,,,,There is a certain artist. Some portraits were painted on canvas by that artists and other portraits were not.
5,artist,NDA,no,Definite,The,animate,who,her,model,painted on canvas,looked,The model who the artist painted on canvas looked stunning.,"There is a certain artist. A model was painted on canvas by that artist, and another was not.",There is a certain artist.,"A model was painted on canvas by that artist, and another was not.",,,,,There is a certain artist. A model was painted on canvas by that artist and another model was not.
5,artist,NDI,no,Definite,The,inanimate,which,its,pottery wheel,painted on canvas,looked,The portrait which the artist painted on canvas looked stunning.,"There is a certain artist. A portrait was painted on canvas by that artist, and another was not.",There is a certain artist.,"A portrait was painted on canvas by that artist, and another was not.",,,,,"There is a certain artist. A portrait was painted on canvas by that artist, and another portrait was not."
6,supervisor,YQA,yes,Quantifier,Every,animate,who,her,police woman,observed,was up to,Every policewoman who her supervisor observed at the precinct was up to the the task.,"Police women are paired with certain supervisors. Some police women were observed by their supervisor, and others were not.",Police women are paired with certain supervisors.,"Some police women were observed by their supervisor, and others were not.",,,,,"Police women are assigned certain supervisors. Some police women were observed by their respective supervisor at the precint, and others were not. "
6,supervisor,YQI,yes,Quantifier,Every,inanimate,which,its,computer,observed,was up to,Every computer which its supervisor observed at the precinct was up to the the task.,"Computers are used by certain supervisors. Some computers were observed by their supervisor, and others were not.",Computers are used by certain supervisors.,"Some computers were observed by their supervisor, and others were not.",,,,,"Computers are assigned certain supervisors. Some computers were observed by its respective supervisor at the precint, and others were not. "
6,supervisor,YDA,yes,Definite,The,animate,who,her,police woman,observed,was up to,The policewoman who her supervisor observed at the precinct was up to the the task.,"Police women are paired with certain supervisors. A police woman was observed by her supervisor, and another was not.",Police women are paired with certain supervisors.,"A police woman was observed by her supervisor, and another was not.",,,,,"Police women are assigned certain supervisors. A police woman was observed by their supervisor at the precint, and others were not."
6,supervisor,YDI,yes,Definite,The,inanimate,which,its,computer,observed,was up to,The computer which its supervisor observed at the precinct was up to the the task.,"Computers are used by certain supervisors. A computer was observed by its supervisor, and another was not.",Computers are used by certain supervisors.,"A computer was observed by its supervisor, and another was not.",,,,,"Computers are assigned certain supervisors. A computer was observed at the precint by its supervisor, and others were not. "
6,supervisor,NQA,no,Quantifier,Every,animate,who,her,police woman,observed,was up to,Every policewoman who the supervisor observed at the precinct was up to the the task.,"There is a certain supervisor. Some police women were observed by that supervisor, and others were not.",There is a certain supervisor.,"Some police women were observed by that supervisor, and others were not.",,,,,"There is a certain supervisor. Some police women were observed by this supervisor at the precint, and others were not. "
6,supervisor,NQI,no,Quantifier,Every,inanimate,which,its,computer,observed,was up to,Every computer which the supervisor observed at the precinct was up to the the task.,"There is a certain supervisor. Some computers were observed by that supervisor, and others were not.",There is a certain supervisor.,"Some computers were observed by that supervisor, and others were not.",,,,,"There is a certain supervisor. Some computers were observed by this supervisor at the precint, and others were not. "
6,supervisor,NDA,no,Definite,The,animate,who,her,police woman,observed,was up to,The policewoman who the supervisor observed at the precinct was up to the the task.,"There is a certain supervisor. A police woman was observed by that supervisor, and another was not.",There is a certain supervisor.,"A police woman was observed by that supervisor, and another was not.",,,,,"There is a certain supervisor. A police woman was observed by this supervisor at the precint, and others were not. "
6,supervisor,NDI,no,Definite,The,inanimate,which,its,computer,observed,was up to,The computer which the supervisor observed at the precinct was up to the the task.,"There is a certain supervisor. A computer was observed by that supervisor, and another was not.",There is a certain supervisor.,"A computer was observed by that supervisor, and another was not.",,,,,"There is a certain supervisor. A computer was observed by this supervisor at the precint, and others were not. "
7,doctor,YQA,yes,Quantifier,Every,animate,who,her,nurse,consulted at the clinic,offered,Every nurse who her doctor consulted at the clinic offered valuable insight.,"Nurses are work for certain doctors. Some nurses were consulted at the clinic by their doctor, and others were not.",Nurses are work for certain doctors.,"Some nurses were consulted at the clinic by their doctor, and others were not.",,,,,"Nurses work for certain doctors. Some nurses were consulted with their doctor, and others were not."
7,doctor,YQI,yes,Quantifier,Every,inanimate,which,its,lab test,consulted at the clinic,offered,Every lab which its doctor consulted at the clinic offered valuable insight.,"Labs tests are inspected by certain doctors. Some lab tests were consulted at the clinic by their doctor, and others were not.",Labs tests are inspected by certain doctors.,"Some lab tests were consulted at the clinic by their doctor, and others were not.",,,,,"Labs are supervised by certain doctors. Some labs were consulted with their doctor, and others were not."
7,doctor,YDA,yes,Definite,The,animate,who,her,nurse,consulted at the clinic,offered,The nurse who her doctor consulted at the clinic offered valuable insight.,"Nurses are work for certain doctors. A nurse was consulted at the clinic by her doctor, and another was not.",Nurses are work for certain doctors.,"A nurse was consulted at the clinic by her doctor, and another was not.",,,,,"Nurses work for certain doctors. A nurse was consulted with their doctor, and others were not."
7,doctor,YDI,yes,Definite,The,inanimate,which,its,lab test,consulted at the clinic,offered,The lab which its doctor consulted at the clinic offered valuable insight.,"Labs tests are inspected by certain doctors. A lab test was consulted at the clinic by its doctor, and another was not.",Labs tests are inspected by certain doctors.,"A lab test was consulted at the clinic by its doctor, and another was not.",,,,,"Labs are supervised by certain doctors. A lab was consulted by its doctor, and others were not."
7,doctor,NQA,no,Quantifier,Every,animate,who,her,nurse,consulted at the clinic,offered,Every nurse who the doctor consulted at the clinic offered valuable insight.,"There is a certain doctor. Some nurses were consulted at the clinic by that doctor, and others were not.",There is a certain doctor.,"Some nurses were consulted at the clinic by that doctor, and others were not.",,,,,"There is a certain doctor. Some nurses were consulted with the doctor, and others were not."
7,doctor,NQI,no,Quantifier,Every,inanimate,which,its,lab test,consulted at the clinic,offered,Every lab which the doctor consulted at the clinic offered valuable insight.,"There is a certain doctor. Some lab tests were consulted at the clinic by that doctor, and others were not.",There is a certain doctor.,"Some lab tests were consulted at the clinic by that doctor, and others were not.",,,,,"There is a certain doctor. Some labs were consulted with the doctor, and others were not."
7,doctor,NDA,no,Definite,The,animate,who,her,nurse,consulted at the clinic,offered,The nurse who the doctor consulted at the clinic offered valuable insight.,"There is a certain doctor. A nurse was consulted at the clinic by that doctor, and another was not.",There is a certain doctor.,"A nurse was consulted at the clinic by that doctor, and another was not.",,,,,"There is a certain doctor. A nurse was consulted with the doctor, and others were not."
7,doctor,NDI,no,Definite,The,inanimate,which,its,lab test,consulted at the clinic,offered,The lab which the doctor consulted at the clinic offered valuable insight.,"There is a certain doctor. A lab test was consulted at the clinic by that doctor, and another was not.",There is a certain doctor.,"A lab test was consulted at the clinic by that doctor, and another was not.",,,,,"There is a certain doctor. A lab was consulted by its doctor, and others were not."
8,travelagent,YQA,yes,Quantifier,Every,animate,who,her,tour guide,endorsed in a tweet,sold,Every tour guide who her travel agent endorsed in a tweet sold out of tickets.,"Tour guides are endorsed by certain travel agents. Some tour guides were endorsed by their travel agent, others were not. ",Tour guides are endorsed by certain travel agents.,"Some tour guides were endorsed by their travel agent, others were not. ",,,,,
8,travelagent,YQI,yes,Quantifier,Every,inanimate,which,its,tour bus,endorsed in a tweet,sold,Every guided tour which its travel agent endorsed in a tweet sold out of tickets.,"Guided tours are given by certain travel agents.  Some guided tours were endorsed by their travel agent, others were not. ",Guided tours are given by certain travel agents. ,"Some guided tours were endorsed by their travel agent, others were not. ",,,,,
8,travelagent,YDA,yes,Definite,The,animate,who,her,tour guide,endorsed in a tweet,sold,The tour guide who her travel agent endorsed in a tweet sold out of tickets.,"Tour guides are endorsed by certain travel agents. A tour guide was endorsed by her travel agent, another was not. ",Tour guides are endorsed by certain travel agents.,"A tour guide was endorsed by her travel agent, another was not. ",,,,,
8,travelagent,YDI,yes,Definite,The,inanimate,which,its,tour bus,endorsed in a tweet,sold,The guided tour which its travel agent endorsed in a tweet sold out of tickets.,"Guided tours are given by certain travel agents.  A guided tour was endorsed by its travel agent, another was not. ",Guided tours are given by certain travel agents. ,"A guided tour was endorsed by its travel agent, another was not. ",,,,,
8,travelagent,NQA,no,Quantifier,Every,animate,who,her,tour guide,endorsed in a tweet,sold,Every tour guide who the travel agent endorsed in a tweet sold out of tickets.,"There is a certain travel agent. Some tour guides were endorsed by the travel agent, others were not. ",There is a certain travel agent.,"Some tour guides were endorsed by the travel agent, others were not. ",,,,,
8,travelagent,NQI,no,Quantifier,Every,inanimate,which,its,tour bus,endorsed in a tweet,sold,Every guided tour which the travel agent endorsed in a tweet sold out of tickets.,"There is a certain travel agent. Some guided tours were endorsed by the travel agent, others were not. ",There is a certain travel agent.,"Some guided tours were endorsed by the travel agent, others were not. ",,,,,
8,travelagent,NDA,no,Definite,The,animate,who,her,tour guide,endorsed in a tweet,sold,The tour guide who the travel agent endorsed in a tweet sold out of tickets.,"There is a certain travel agent. A tour guide was endorsed by the travel agent, another was not. ",There is a certain travel agent.,"A tour guide was endorsed by the travel agent, another was not. ",,,,,
8,travelagent,NDI,no,Definite,The,inanimate,which,its,tour bus,endorsed in a tweet,sold,The guided tour which the travel agent endorsed in a tweet sold out of tickets.,"There is a certain travel agent. A guided tour was endorsed by the travel agent, another was not. ",There is a certain travel agent.,"A guided tour was endorsed by the travel agent, another was not. ",,,,,
9,playwright,YQA,yes,Quantifier,Every,animate,who,her,director,addressed in the meeting,needed,Every director who her playwright addressed in the meeting needed considerable help.,"Directors work with certain playwrights. Some directors were addressed by their playwright, and others were not.",Directors work with certain playwrights.,"Some directors were addressed by their playwright, and others were not.",,,,,
9,playwright,YQI,yes,Quantifier,Every,inanimate,which,its,script,addressed in the meeting,needed,Every script which its playwright addressed in the meeting needed considerable help.,"Scripts are written by certain playwrights. Some scripts were addressed by their playwright, and others did not.",Scripts are written by certain playwrights.,"Some scripts were addressed by their playwright, and others did not.",,,,,
9,playwright,YDA,yes,Definite,The,animate,who,her,director,addressed in the meeting,needed,The director who her playwright addressed in the meeting needed considerable help.,"Directors work with certain playwrights. A director was adressed by her playwright, and others were not.",Directors work with certain playwrights.,"A director was adressed by her playwright, and others were not.",,,,,
9,playwright,YDI,yes,Definite,The,inanimate,which,its,script,addressed in the meeting,needed,The script which its playwright addressed in the meeting needed considerable help.,"Scripts are written by certain playwrights. A script was addressed by its playwright, and others were not.",Scripts are written by certain playwrights.,"A script was addressed by its playwright, and others were not.",,,,,
9,playwright,NQA,no,Quantifier,Every,animate,who,her,director,addressed in the meeting,needed,Every director who the playwright addressed in the meeting needed considerable help.,"There is a certain playwright. Some directors were addressed by the playwright, and others were not.",There is a certain playwright.,"Some directors were addressed by the playwright, and others were not.",,,,,
9,playwright,NQI,no,Quantifier,Every,inanimate,which,its,script,addressed in the meeting,needed,Every script which the playwright addressed in the meeting needed considerable help.,"There is a certain playwright. Some scripts were adressed by the playwright, and others were not.",There is a certain playwright.,"Some scripts were adressed by the playwright, and others were not.",,,,,
9,playwright,NDA,no,Definite,The,animate,who,her,director,addressed in the meeting,needed,The director who the playwright addressed in the meeting needed considerable help.,"There is a certain playwright. A director was adressed by her playwright, and others were not.",There is a certain playwright.,"A director was adressed by her playwright, and others were not.",,,,,
9,playwright,NDI,no,Definite,The,inanimate,which,its,script,addressed in the meeting,needed,The script which the playwright addressed in the meeting needed considerable help.,"There is a certain playwright. A script was adressed by its playwright, and others were not.",There is a certain playwright.,"A script was adressed by its playwright, and others were not.",,,,,
10,professor,YQA,yes,Quantifier,Every,animate,who,her,student,presented,influenced,Every student who her professor presented to the faculty influenced the dean.,"Students have certain professors. Some students were presented to the faculty by their professor, and others were not.",Students have certain professors.,"Some students were presented to the faculty by their professor, and others were not.",,,,,
10,professor,YQI,yes,Quantifier,Every,inanimate,which,its,manuscript,presented,influenced,Every manuscript which its professor presented to the faculty influenced the dean.,"Manuscripts are written by certain professors. Some manuscripts were presented to the faculty by its professor, and others were not.",Manuscripts are written by certain professors.,"Some manuscripts were presented to the faculty by its professor, and others were not.",,,,,
10,professor,YDA,yes,Definite,The,animate,who,her,student,presented,influenced,The student who her professor presented to the faculty influenced the dean.,"Students have certain professors. A student was presented to the faculty by their professor, and another was not.",Students have certain professors.,"A student was presented to the faculty by their professor, and another was not.",,,,,
10,professor,YDI,yes,Definite,The,inanimate,which,its,manuscript,presented,influenced,The manuscript which its professor presented to the faculty influenced the dean.,"Manuscripts are written certain by professors. A manuscript was presented to the faculty by its professor, and another was not.",Manuscripts are written certain by professors.,"A manuscript was presented to the faculty by its professor, and another was not.",,,,,
10,professor,NQA,no,Quantifier,Every,animate,who,her,student,presented,influenced,Every student who the professor presented to the faculty influenced the dean.,"There is a certain professor. Some students were presented to the faculty by the professor, and others were not.",There is a certain professor.,"Some students were presented to the faculty by the professor, and others were not.",,,,,
10,professor,NQI,no,Quantifier,Every,inanimate,which,its,manuscript,presented,influenced,Every manuscript which the professor presented to the faculty influenced the dean.,"There is a certain professor. Some manuscripts were presented to the faculty by the professor, and others were not.",There is a certain professor.,"Some manuscripts were presented to the faculty by the professor, and others were not.",,,,,
10,professor,NDA,no,Definite,The,animate,who,her,student,presented,influenced,The student who the professor presented to the faculty influenced the dean.,"There is a certain professor. A student was presented to the faculty by the professor, and another was not.",There is a certain professor.,"A student was presented to the faculty by the professor, and another was not.",,,,,
10,professor,NDI,no,Definite,The,inanimate,which,its,manuscript,presented,influenced,The manuscript which the professor presented to the faculty influenced the dean.,"There is a certain professor. A manuscript was presented to the faculty by the professor, and another was not.",There is a certain professor.,"A manuscript was presented to the faculty by the professor, and another was not.",,,,,
11,scientist,YQA,yes,Quantifier,Every,animate,who,her,study participant,tested in the lab,showed,Every study participant who her scientist tested in the lab showed interesting results.,"Study participants are overseen by certain scientists. Some study participants were tested in the lab by their scientist, and others were not.",Study participants are overseen by certain scientists.,"Some study participants were tested in the lab by their scientist, and others were not.",,,,,
11,scientist,YQI,yes,Quantifier,Every,inanimate,which,its,soil sample,tested in the lab,showed,Every soil sample which its scientist tested in the lab showed interesting results.,"Soil samples are inspected by certain scientists. Some soil sample were tested in the lab by their scientist, and others were not.",Soil samples are inspected by certain scientists.,"Some soil sample were tested in the lab by their scientist, and others were not.",,,,,
11,scientist,YDA,yes,Definite,The,animate,who,her,study participant,tested in the lab,showed,The study participant who her scientist tested in the lab showed interesting results.,"Study participants are overseen by certain scientists. A study participant was tested in the lab by her scientist, and another was not.",Study participants are overseen by certain scientists.,"A study participant was tested in the lab by her scientist, and another was not.",,,,,
