"","workerid","WCO","animacy","condition","determiner","item","response","slide_number","trial_type","subject_information.assess","subject_information.gender","subject_information.age","subject_information.language","time_in_minutes","unique_worker"
"38",103,"Y","I","YQI","Q","coach",0.25,9,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"39",103,"Y","A","YDA","D","travelagent",0.07,10,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"40",103,"Y","A","YDA","D","stylist",0.08,11,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"41",103,"f","l","filler","i","filler2",0.21,12,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"42",103,"Y","I","YDI","D","playwright",0.31,13,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"43",103,"f","l","filler","i","filler6",0.03,14,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"44",103,"Y","A","YQA","Q","artist",0.13,15,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"45",103,"N","I","NDI","D","troopleader",0.86,16,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"46",103,"N","A","NDA","D","chef",0.97,17,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"47",103,"Y","I","YDI","D","queen",0,18,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"48",103,"N","I","NDI","D","pilot",0.53,19,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"49",103,"N","A","NQA","Q","fan",0.98,20,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"50",103,"Y","A","YDA","D","dentist",0.89,21,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"51",103,"N","I","NQI","Q","pianist",0.96,22,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"52",103,"f","l","filler","i","filler1",0.76,23,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"53",103,"N","A","NQA","Q","nutritionist",0.99,24,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"54",103,"N","A","NDA","D","doctor",0.95,25,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"55",103,"Y","I","YQI","Q","scientist",0.53,26,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"56",103,"Y","A","YQA","Q","priest",0.83,27,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"57",103,"N","A","NQA","Q","patient",0.3,28,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"58",103,"f","l","filler","i","filler5",0.03,29,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"59",103,"N","A","NDA","D","bartender",0.57,30,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"60",103,"N","I","NQI","Q","choreographer",0.56,31,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"61",103,"Y","I","YQI","Q","supervisor",0.4,32,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"62",103,"f","l","filler","i","filler3",0.83,33,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"63",103,"Y","I","YDI","D","professor",0.25,34,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"64",103,"N","I","NDI","D","CEO",0.53,35,"one_slider","Yes","Male","21","English",9.39078333333333,"S 103"
"65",114,"","","","","",0.03,NA,"one_slider_practice","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"66",114,"","","","","",0.96,NA,"one_slider_practice","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"67",114,"N","I","NDI","D","artist",1,6,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"68",114,"N","A","NQA","Q","bartender",0.5,7,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"69",114,"f","l","filler","i","filler1",0.75,8,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"70",114,"Y","I","YQI","Q","professor",0.26,9,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"71",114,"Y","I","YDI","D","choreographer",0.7,10,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"72",114,"N","I","NQI","Q","nutritionist",0.99,11,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"73",114,"Y","I","YQI","Q","CEO",0.13,12,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"74",114,"N","I","NDI","D","chef",0.96,13,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"75",114,"Y","A","YDA","D","stylist",0.69,14,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"76",114,"N","I","NQI","Q","fan",0.98,15,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"77",114,"N","A","NDA","D","queen",0.98,16,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"78",114,"Y","A","YDA","D","troopleader",0.23,17,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"79",114,"Y","I","YDI","D","patient",0.1,18,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"80",114,"Y","A","YQA","Q","scientist",0.39,19,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"81",114,"Y","I","YQI","Q","groom",0.66,20,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"82",114,"N","A","NDA","D","coach",1,21,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"83",114,"N","I","NDI","D","priest",0.97,22,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"84",114,"f","l","filler","i","filler2",0.96,23,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"85",114,"N","A","NQA","Q","doctor",0.89,24,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"86",114,"f","l","filler","i","filler4",0.04,25,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"87",114,"N","A","NQA","Q","dentist",0.68,26,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"88",114,"f","l","filler","i","filler3",0.95,27,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"89",114,"N","I","NQI","Q","playwright",0.96,28,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"90",114,"f","l","filler","i","filler6",0.04,29,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"91",114,"f","l","filler","i","filler5",0.07,30,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"92",114,"Y","A","YQA","Q","pianist",0.88,31,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"93",114,"Y","A","YQA","Q","conductor",0.76,32,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"94",114,"Y","I","YDI","D","travelagent",0.36,33,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"95",114,"Y","A","YDA","D","supervisor",0.14,34,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"96",114,"N","A","NDA","D","pilot",0.04,35,"one_slider","Yes","Male","18","English and Russian",9.25718333333333,"S 114"
"97",96,"","","","","",0.4,NA,"one_slider_practice","Yes","Male","18","English",8.93578333333333,"S 96"
"98",96,"","","","","",0.18,NA,"one_slider_practice","Yes","Male","18","English",8.93578333333333,"S 96"
"99",96,"N","A","NDA","D","travelagent",0.54,6,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"100",96,"N","I","NQI","Q","chef",0.69,7,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"101",96,"N","I","NDI","D","stylist",0.7,8,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"102",96,"Y","A","YQA","Q","doctor",0.22,9,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"103",96,"f","l","filler","i","filler5",0.21,10,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"104",96,"f","l","filler","i","filler1",0.85,11,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"105",96,"Y","A","YDA","D","nutritionist",0.35,12,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"106",96,"Y","I","YQI","Q","pianist",0.06,13,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"107",96,"N","I","NQI","Q","patient",0.79,14,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"108",96,"Y","A","YDA","D","troopleader",0.2,15,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"109",96,"f","l","filler","i","filler6",0,16,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"110",96,"f","l","filler","i","filler3",0.66,17,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"111",96,"Y","I","YQI","Q","choreographer",0.06,18,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"112",96,"N","I","NDI","D","coach",0.43,19,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"113",96,"N","A","NQA","Q","conductor",0.4,20,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"114",96,"N","A","NQA","Q","professor",0.9,21,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"115",96,"N","A","NQA","Q","groom",0.86,22,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"116",96,"Y","A","YDA","D","playwright",0.39,23,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"117",96,"N","A","NDA","D","artist",0.93,24,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"118",96,"f","l","filler","i","filler4",0.59,25,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"119",96,"Y","I","YDI","D","fan",0.15,26,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"120",96,"Y","I","YDI","D","bartender",0.65,27,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"121",96,"Y","A","YQA","Q","scientist",0.29,28,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"122",96,"N","I","NQI","Q","queen",0.92,29,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"123",96,"Y","A","YQA","Q","dentist",0.69,30,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"124",96,"Y","I","YQI","Q","pilot",0.34,31,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"125",96,"N","I","NDI","D","supervisor",0.69,32,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"126",96,"Y","I","YDI","D","CEO",0.29,33,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"127",96,"N","A","NDA","D","priest",0.92,34,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"128",96,"f","l","filler","i","filler2",0.74,35,"one_slider","Yes","Male","18","English",8.93578333333333,"S 96"
"129",78,"","","","","",0.9,NA,"one_slider_practice","Yes","Male","20","English",9.75803333333333,"S 78"
"130",78,"","","","","",0.66,NA,"one_slider_practice","Yes","Male","20","English",9.75803333333333,"S 78"
"131",78,"N","I","NQI","Q","artist",0.32,6,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"132",78,"Y","I","YQI","Q","playwright",0.4,7,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"133",78,"Y","A","YDA","D","dentist",0.65,8,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"134",78,"N","A","NDA","D","patient",0.51,9,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"135",78,"f","l","filler","i","filler3",0.52,10,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"136",78,"N","A","NQA","Q","priest",0.51,11,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"137",78,"f","l","filler","i","filler5",0.48,12,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"138",78,"N","I","NDI","D","queen",0.5,13,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"139",78,"N","A","NQA","Q","troopleader",0.54,14,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"140",78,"N","A","NQA","Q","pianist",0.54,15,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"141",78,"Y","A","YQA","Q","travelagent",0.56,16,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"142",78,"Y","I","YDI","D","CEO",0.59,17,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"143",78,"N","I","NQI","Q","doctor",0.62,18,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"144",78,"Y","I","YQI","Q","stylist",0.61,19,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"145",78,"Y","A","YQA","Q","groom",0.64,20,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"146",78,"Y","I","YDI","D","bartender",0.67,21,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"147",78,"N","I","NQI","Q","fan",0.69,22,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"148",78,"f","l","filler","i","filler6",0.65,23,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"149",78,"Y","I","YQI","Q","chef",0.43,24,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"150",78,"Y","I","YDI","D","scientist",0.51,25,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"151",78,"N","I","NDI","D","coach",0.65,26,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"152",78,"Y","A","YQA","Q","supervisor",0.63,27,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"153",78,"N","I","NDI","D","conductor",0.63,28,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"154",78,"N","A","NDA","D","pilot",0.61,29,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"155",78,"Y","A","YDA","D","choreographer",0.64,30,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"156",78,"f","l","filler","i","filler1",0.45,31,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"157",78,"Y","A","YDA","D","nutritionist",0.58,32,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"158",78,"f","l","filler","i","filler2",0.56,33,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"159",78,"N","A","NDA","D","professor",0.61,34,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"160",78,"f","l","filler","i","filler4",0.57,35,"one_slider","Yes","Male","20","English",9.75803333333333,"S 78"
"161",88,"","","","","",0,NA,"one_slider_practice","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"162",88,"","","","","",1,NA,"one_slider_practice","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"163",88,"N","A","NQA","Q","bartender",0,6,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"164",88,"N","I","NQI","Q","CEO",0,7,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"165",88,"f","l","filler","i","filler4",0.74,8,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"166",88,"N","A","NDA","D","travelagent",0.95,9,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"167",88,"N","I","NQI","Q","patient",1,10,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"168",88,"Y","A","YDA","D","troopleader",0.25,11,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"169",88,"N","A","NDA","D","choreographer",0,12,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"170",88,"f","l","filler","i","filler5",0.02,13,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"171",88,"N","A","NQA","Q","playwright",0.71,14,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"172",88,"Y","I","YDI","D","pilot",0.88,15,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"173",88,"Y","I","YQI","Q","queen",0.75,16,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"174",88,"f","l","filler","i","filler6",0,17,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"175",88,"N","I","NDI","D","doctor",1,18,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"176",88,"Y","A","YQA","Q","professor",1,19,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"177",88,"N","A","NQA","Q","fan",0.95,20,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"178",88,"Y","A","YDA","D","dentist",0,21,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"179",88,"f","l","filler","i","filler2",0.01,22,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"180",88,"Y","A","YDA","D","priest",0,23,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"181",88,"N","I","NDI","D","scientist",1,24,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"182",88,"Y","I","YDI","D","pianist",0,25,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"183",88,"Y","I","YDI","D","conductor",1,26,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"184",88,"f","l","filler","i","filler3",1,27,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"185",88,"N","A","NDA","D","coach",1,28,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"186",88,"N","I","NDI","D","nutritionist",1,29,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"187",88,"f","l","filler","i","filler1",1,30,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"188",88,"Y","I","YQI","Q","supervisor",1,31,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"189",88,"Y","I","YQI","Q","groom",0,32,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"190",88,"Y","A","YQA","Q","stylist",1,33,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"191",88,"Y","A","YQA","Q","chef",1,34,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"192",88,"N","I","NQI","Q","artist",1,35,"one_slider","Yes","Female","20","Turkish",7.50533333333333,"S 88"
"193",70,"","","","","",1,NA,"one_slider_practice","Yes","Female","katherine","katherine",2.4565,"S 70"
"194",70,"","","","","",1,NA,"one_slider_practice","Yes","Female","katherine","katherine",2.4565,"S 70"
"195",70,"N","I","NQI","Q","chef",0.72,6,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"196",70,"N","I","NQI","Q","coach",0.25,7,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"197",70,"f","l","filler","i","filler5",0.61,8,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"198",70,"Y","I","YDI","D","pilot",0.66,9,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"199",70,"Y","I","YDI","D","nutritionist",0.45,10,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"200",70,"N","A","NQA","Q","CEO",0.5,11,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"201",70,"Y","I","YDI","D","fan",0.81,12,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"202",70,"f","l","filler","i","filler3",0.83,13,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"203",70,"f","l","filler","i","filler4",0.32,14,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"204",70,"N","A","NDA","D","playwright",0.47,15,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"205",70,"Y","A","YDA","D","artist",0.44,16,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"206",70,"Y","A","YDA","D","dentist",0.66,17,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"207",70,"f","l","filler","i","filler1",0.57,18,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"208",70,"N","A","NQA","Q","troopleader",0.48,19,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"209",70,"N","I","NDI","D","pianist",0.44,20,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"210",70,"N","I","NDI","D","scientist",0.76,21,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"211",70,"f","l","filler","i","filler6",0.76,22,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"212",70,"Y","I","YQI","Q","doctor",0.83,23,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"213",70,"Y","A","YDA","D","patient",0.17,24,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"214",70,"N","A","NQA","Q","stylist",0.35,25,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"215",70,"Y","I","YQI","Q","conductor",0.56,26,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"216",70,"N","A","NDA","D","priest",0.55,27,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"217",70,"Y","A","YQA","Q","professor",0.53,28,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"218",70,"N","I","NDI","D","queen",0.88,29,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"219",70,"N","I","NQI","Q","groom",0.12,30,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"220",70,"N","A","NDA","D","bartender",0.59,31,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"221",70,"Y","I","YQI","Q","choreographer",0.46,32,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"222",70,"Y","A","YQA","Q","travelagent",0.5,33,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"223",70,"Y","A","YQA","Q","supervisor",0.4,34,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"224",70,"f","l","filler","i","filler2",0.83,35,"one_slider","Yes","Female","katherine","katherine",2.4565,"S 70"
"225",71,"","","","","",0.95,NA,"one_slider_practice","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"226",71,"","","","","",0.95,NA,"one_slider_practice","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"227",71,"N","A","NQA","Q","fan",0.72,6,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"228",71,"N","I","NQI","Q","scientist",0.96,7,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"229",71,"N","I","NQI","Q","choreographer",0.23,8,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"230",71,"f","l","filler","i","filler6",0.02,9,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"231",71,"N","A","NDA","D","CEO",0.44,10,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"232",71,"N","A","NDA","D","queen",0.42,11,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"233",71,"N","A","NQA","Q","bartender",0.85,12,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"234",71,"N","I","NQI","Q","stylist",0.98,13,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"235",71,"Y","I","YQI","Q","dentist",0.04,14,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"236",71,"Y","I","YQI","Q","patient",0.04,15,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"237",71,"Y","I","YDI","D","chef",0.09,16,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
"238",71,"f","l","filler","i","filler1",0.84,17,"one_slider","Yes","Male","19","Telugu",17.4685833333333,"S 71"
